list_code_wa,criteria_code_wa,assigned_as_in_tsc,tsc_criteria,comments_MP,actions_required
IUCN_2001,"Ba1b(iii)+2ab(iii); C2a(i,ii); D","B1a,B1b(iii),B2a,B2b(iii),C2a(i,ii),D","131,134,141,144,152,158,154,",,
IUCN_2001,C1,C1,151,,
IUCN_2001,C1+2a(i); D,"C1,C2a(i),D","151,152,154",,
IUCN_2001,C1+C2a(i)b,"C1,C2a(i),C2b","151,152,153",,
IUCN_2001,C2a,,,No C2a,
IUCN_2001,C2a; D,D,154,No C2a,
IUCN_2001,C2a; D1+2,"D1,D2","155,156",No C2a,
IUCN_2001,C2a(i),C2a(i),152,,
IUCN_2001,C2a(i); D,"C2a(i),D","152,154",,
IUCN_2001,C2a(ii),C2a(ii),158,,
IUCN_2001,C2b,C2b,153,,
IUCN_2001,D,D,154,,
IUCN_2001,D1,D1,155,,
IUCN_2001,D1+2,"D1,D2",156,,
IUCN_2001,D2,D2,156,,
IUCN_2001,Does not meet,,,,
